ticket_number,subject,description,department,category,priority,ward,is_spam,submit_count,created_at,resolution_hours,sla_breached,status
CMP-405460,Traffic light malfunction,The traffic lights at the main crossing are flashing yellow and causing traffic jams.,roads,roads,medium,Ward 9,0,2,2026-04-27T05:30:40.499022,65.38,0,resolved
CMP-682996,Low water pressure,The municipal water pressure is extremely low. It takes hours to fill a single bucket.,water,water,medium,Ward 6,0,2,2026-05-01T23:45:40.499022,24.85,0,resolved
CMP-757173,No receipt generated,"The payment for property tax was successful, but no digital receipt was generated or sent.",billing,billing,low,Ward 3,0,1,2026-05-10T15:18:40.499022,30.11,0,resolved
CMP-785237,Street vendor encroachment,Street vendors have blocked the entire entrance gate of our society in Ward 6.,general,general,low,Ward 6,0,1,2026-05-01T03:58:40.499022,100.02,0,resolved
CMP-752696,Promotional Alert,"Online casino! Sign up now and get 100 free spins. Play roulette, blackjack, win real cash!",general,spam,low,Ward 10,1,25,2026-04-26T04:29:40.499022,0.0,0,rejected
CMP-733832,Road flooding,"Every time it rains, the street gets flooded with knee-deep water because the roadside storm drains are blocked.",roads,roads,low,Ward 6,0,2,2026-05-29T18:44:40.499022,159.33,1,resolved
CMP-946099,Loudspeaker noise pollution,Loud music is being played at high volume after midnight from the party hall near Ward 5 hospital.,general,general,low,Ward 5,0,2,2026-04-19T06:38:40.499022,104.64,0,rejected
CMP-648121,Contaminated water,The drinking water supplied today is yellow and smells like drainage. It is completely unfit for consumption.,water,water,medium,Ward 7,0,2,2026-04-24T00:46:40.499022,19.44,0,resolved
CMP-565535,No water supply,We have not received any drinking water supply for the last 3 days in Ward 2. Please look into this urgently.,water,water,low,Ward 2,0,2,2026-05-02T14:07:40.499022,13.86,0,resolved
CMP-306275,Garbage dump overflow,The municipal garbage bin has not been cleared for a week. Garbage is spilling and dogs are scattering it.,sanitation,sanitation,low,Ward 8,0,1,2026-05-17T13:09:40.499022,43.33,0,resolved
CMP-670674,Clogged storm drain,"The drainage canal next to our housing society is filled with plastic bottles and black mud, emitting a bad odour.",sanitation,sanitation,low,Ward 4,0,1,2026-04-10T17:19:40.499022,69.42,0,resolved
CMP-778437,Consumer ID link error,The system says my consumer ID is invalid when I try to query my monthly dues.,billing,billing,low,Ward 1,0,1,2026-04-23T08:51:40.499022,30.31,0,resolved
CMP-455789,Water pipeline burst,There is a major water pipe burst on Main Street in Ward 9. Drinking water is leaking onto the road and pressure is low.,water,water,critical,Ward 9,0,2,2026-04-30T22:59:40.499022,3.4,0,resolved
CMP-329293,No garbage collection,The municipal waste collection truck has skipped our sector for the last four days.,sanitation,sanitation,low,Ward 6,0,1,2026-05-13T19:52:40.499022,71.52,0,rejected
CMP-522400,Property registration link,Unable to link my property tax ID to my mobile number on the municipal portal.,property_tax,property_tax,low,Ward 1,0,1,2026-05-09T15:04:40.499022,52.3,0,resolved
CMP-161977,Dangling wire,A live high-voltage electrical cable has snapped and is hanging low over the road near Ward 4 school.,electricity,electricity,medium,Ward 4,0,1,2026-04-12T07:50:40.499022,6.63,0,resolved
CMP-494802,Public toilet unhygienic,The public toilet near Ward 3 bus stand has no running water and is extremely filthy.,sanitation,sanitation,low,Ward 3,0,2,2026-05-12T13:16:40.499022,85.78,0,resolved
CMP-964929,Open manhole,A deep sewer manhole is lying open on the middle of the road. This is a death trap for drivers.,roads,roads,low,Ward 9,0,1,2026-04-10T19:07:40.499022,136.18,1,resolved
CMP-980085,No water supply,We have not received any drinking water supply for the last 3 days in Ward 7. Please look into this urgently.,water,water,low,Ward 7,0,2,2026-04-20T23:33:40.499022,35.81,0,resolved
CMP-504947,Loudspeaker noise pollution,Loud music is being played at high volume after midnight from the party hall near Ward 5 hospital.,general,general,low,Ward 5,0,2,2026-04-28T09:27:40.499022,99.98,0,resolved
CMP-409753,Potholes on road,Huge potholes have formed on the main road in Ward 9. Multiple two-wheelers have skidded today.,roads,roads,low,Ward 9,0,1,2026-04-20T23:50:40.499022,162.17,1,rejected
CMP-893547,No receipt generated,"The payment for property tax was successful, but no digital receipt was generated or sent.",billing,billing,low,Ward 1,0,1,2026-05-29T15:49:40.499022,35.5,0,resolved
CMP-173266,Traffic light malfunction,The traffic lights at the main crossing are flashing yellow and causing traffic jams.,roads,roads,medium,Ward 8,0,2,2026-04-17T19:32:40.499022,122.69,1,resolved
CMP-257385,Incorrect billing amount,"I received a water bill of Rs. 15,000 this month. Our typical bill is Rs. 300. This is a calculation error.",billing,billing,low,Ward 8,0,1,2026-06-03T00:36:40.499022,40.64,0,pending
CMP-984135,Dead animal removal,A dead stray dog is lying on the side of the road near Ward 3 park. It is smelling terrible.,sanitation,sanitation,low,Ward 3,0,1,2026-04-21T14:05:40.499022,31.75,0,resolved
CMP-995893,Broken footpath,The pedestrian footpath is completely broken and blocked by debris near Ward 1 metro station.,roads,roads,medium,Ward 1,0,2,2026-04-20T03:49:40.499022,58.05,0,resolved
CMP-124453,Water pipeline burst,There is a major water pipe burst on Main Street in Ward 3. Drinking water is leaking onto the road and pressure is low.,water,water,critical,Ward 3,0,1,2026-04-07T01:24:40.499022,2.11,0,resolved
CMP-712543,Streetlights broken,"None of the streetlights are working in our lane in Ward 6, making it extremely dark and unsafe at night.",electricity,electricity,low,Ward 6,0,2,2026-05-18T20:39:40.499022,7.3,0,resolved
CMP-326048,Consumer ID link error,The system says my consumer ID is invalid when I try to query my monthly dues.,billing,billing,low,Ward 7,0,1,2026-04-28T02:04:40.499022,27.59,0,resolved
CMP-160714,Stray dog menace,"A pack of aggressive stray dogs has gathered near the children's park in Ward 5, attacking passersby.",general,general,low,Ward 5,0,2,2026-06-02T00:10:40.499022,62.9,0,pending
CMP-238256,Road flooding,"Every time it rains, the street gets flooded with knee-deep water because the roadside storm drains are blocked.",roads,roads,low,Ward 6,0,1,2026-05-24T03:08:40.499022,114.19,0,resolved
CMP-912501,No water supply,We have not received any drinking water supply for the last 3 days in Ward 5. Please look into this urgently.,water,water,low,Ward 5,0,2,2026-05-10T10:06:40.499022,41.25,0,resolved
CMP-681047,Double payment charge,I paid my electricity bill through the portal. The money was debited twice but the status is still unpaid.,billing,billing,low,Ward 2,0,1,2026-04-07T19:00:40.499022,40.51,0,resolved
CMP-911579,No water supply,We have not received any drinking water supply for the last 3 days in Ward 1. Please look into this urgently.,water,water,low,Ward 1,0,2,2026-04-27T01:02:40.499022,20.32,0,resolved
CMP-620896,Public toilet unhygienic,The public toilet near Ward 8 bus stand has no running water and is extremely filthy.,sanitation,sanitation,low,Ward 8,0,2,2026-04-08T14:59:40.499022,84.66,0,resolved
CMP-560493,Potholes on road,Huge potholes have formed on the main road in Ward 6. Multiple two-wheelers have skidded today.,roads,roads,low,Ward 6,0,2,2026-05-26T00:54:40.499022,183.36,1,resolved
CMP-473361,Streetlights broken,"None of the streetlights are working in our lane in Ward 9, making it extremely dark and unsafe at night.",electricity,electricity,low,Ward 9,0,1,2026-05-18T15:15:40.499022,19.65,0,resolved
CMP-521669,Property registration link,Unable to link my property tax ID to my mobile number on the municipal portal.,property_tax,property_tax,low,Ward 8,0,2,2026-04-25T06:48:40.499022,59.75,0,rejected
CMP-934848,Public toilet unhygienic,The public toilet near Ward 8 bus stand has no running water and is extremely filthy.,sanitation,sanitation,low,Ward 8,0,1,2026-05-12T04:26:40.499022,76.52,0,resolved
CMP-924004,Public toilet unhygienic,The public toilet near Ward 3 bus stand has no running water and is extremely filthy.,sanitation,sanitation,low,Ward 3,0,2,2026-05-29T11:48:40.499022,66.85,0,resolved
CMP-433935,Stray dog menace,"A pack of aggressive stray dogs has gathered near the children's park in Ward 2, attacking passersby.",general,general,low,Ward 2,0,2,2026-04-26T01:08:40.499022,59.55,0,resolved
CMP-831103,Water pipeline burst,There is a major water pipe burst on Main Street in Ward 4. Drinking water is leaking onto the road and pressure is low.,water,water,critical,Ward 4,0,1,2026-04-06T14:26:40.499022,6.87,1,resolved
CMP-333065,Transformer sparking,The electric transformer near the local market is sparking and emitting smoke. It could catch fire.,electricity,electricity,critical,Ward 3,0,1,2026-04-23T12:05:40.499022,1.04,0,resolved
CMP-903356,Transformer sparking,The electric transformer near the local market is sparking and emitting smoke. It could catch fire.,electricity,electricity,critical,Ward 5,0,2,2026-04-06T08:04:40.499022,2.59,0,resolved
CMP-716441,Low water pressure,The municipal water pressure is extremely low. It takes hours to fill a single bucket.,water,water,medium,Ward 9,0,1,2026-05-25T22:54:40.499022,11.48,0,resolved
CMP-325246,Property registration link,Unable to link my property tax ID to my mobile number on the municipal portal.,property_tax,property_tax,low,Ward 5,0,1,2026-04-17T13:08:40.499022,50.78,0,resolved
CMP-168526,Potholes on road,Huge potholes have formed on the main road in Ward 1. Multiple two-wheelers have skidded today.,roads,roads,low,Ward 1,0,1,2026-05-30T08:35:40.499022,161.07,1,resolved
CMP-131325,Low water pressure,The municipal water pressure is extremely low. It takes hours to fill a single bucket.,water,water,medium,Ward 3,0,2,2026-06-02T05:06:40.499022,8.37,0,pending
CMP-339962,Test,"Cheap weight loss pills, burn fat fast. Natural supplements no exercise needed.",general,spam,low,Ward 9,1,9,2026-05-12T06:36:40.499022,0.0,0,rejected
CMP-783312,No receipt generated,"The payment for property tax was successful, but no digital receipt was generated or sent.",billing,billing,low,Ward 7,0,1,2026-04-08T23:23:40.499022,36.48,0,resolved
CMP-779083,Double payment charge,I paid my electricity bill through the portal. The money was debited twice but the status is still unpaid.,billing,billing,low,Ward 1,0,2,2026-05-16T07:33:40.499022,24.4,0,resolved
CMP-831665,Incorrect tax rebate,The senior citizen tax discount was not applied to my online tax calculation.,property_tax,property_tax,low,Ward 3,0,2,2026-04-23T16:16:40.499022,80.21,0,resolved
CMP-158657,Dead animal removal,A dead stray dog is lying on the side of the road near Ward 3 park. It is smelling terrible.,sanitation,sanitation,low,Ward 3,0,1,2026-05-09T22:47:40.499022,91.97,0,resolved
CMP-915408,No water supply,We have not received any drinking water supply for the last 3 days in Ward 1. Please look into this urgently.,water,water,low,Ward 1,0,1,2026-05-25T21:05:40.499022,27.13,0,resolved
CMP-192233,Street vendor encroachment,Street vendors have blocked the entire entrance gate of our society in Ward 1.,general,general,low,Ward 1,0,2,2026-04-19T04:57:40.499022,92.11,0,resolved
CMP-551873,Garbage dump overflow,The municipal garbage bin has not been cleared for a week. Garbage is spilling and dogs are scattering it.,sanitation,sanitation,low,Ward 9,0,2,2026-05-02T00:27:40.499022,83.29,0,resolved
CMP-813740,Drainage leakage,Sewage water is overflowing from the main manhole and entering our house compound in Ward 8.,water,water,medium,Ward 8,0,2,2026-05-07T00:01:40.499022,18.95,0,resolved
CMP-231642,Clogged storm drain,"The drainage canal next to our housing society is filled with plastic bottles and black mud, emitting a bad odour.",sanitation,sanitation,low,Ward 8,0,2,2026-05-27T21:47:40.499022,58.82,0,rejected
CMP-371785,Property registration link,Unable to link my property tax ID to my mobile number on the municipal portal.,property_tax,property_tax,low,Ward 2,0,1,2026-05-12T12:12:40.499022,79.75,0,resolved
CMP-845295,Tax assessment error,My house tax assessment shows double the square footage of my actual property. Need correction.,property_tax,property_tax,low,Ward 1,0,2,2026-04-15T02:12:40.499022,38.25,0,rejected
CMP-728203,Loudspeaker noise pollution,Loud music is being played at high volume after midnight from the party hall near Ward 10 hospital.,general,general,low,Ward 10,0,1,2026-05-28T08:55:40.499022,44.56,0,resolved
CMP-779514,Street vendor encroachment,Street vendors have blocked the entire entrance gate of our society in Ward 10.,general,general,low,Ward 10,0,1,2026-04-16T21:33:40.499022,59.67,0,resolved
CMP-323595,Street vendor encroachment,Street vendors have blocked the entire entrance gate of our society in Ward 4.,general,general,low,Ward 4,0,2,2026-04-22T09:35:40.499022,87.78,0,resolved
CMP-494298,Incorrect billing amount,"I received a water bill of Rs. 15,000 this month. Our typical bill is Rs. 300. This is a calculation error.",billing,billing,low,Ward 10,0,2,2026-04-12T00:48:40.499022,52.45,0,resolved
CMP-498308,Road flooding,"Every time it rains, the street gets flooded with knee-deep water because the roadside storm drains are blocked.",roads,roads,low,Ward 2,0,1,2026-05-29T10:52:40.499022,146.79,1,resolved
CMP-584375,Consumer ID link error,The system says my consumer ID is invalid when I try to query my monthly dues.,billing,billing,low,Ward 3,0,2,2026-04-22T19:46:40.499022,32.4,0,resolved
CMP-743749,Tax assessment error,My house tax assessment shows double the square footage of my actual property. Need correction.,property_tax,property_tax,low,Ward 4,0,2,2026-04-28T18:47:40.499022,61.54,0,resolved
CMP-885161,Public toilet unhygienic,The public toilet near Ward 10 bus stand has no running water and is extremely filthy.,sanitation,sanitation,low,Ward 10,0,2,2026-05-29T17:24:40.499022,71.52,0,resolved
CMP-946522,Incorrect billing amount,"I received a water bill of Rs. 15,000 this month. Our typical bill is Rs. 300. This is a calculation error.",billing,billing,low,Ward 1,0,1,2026-05-30T09:47:40.499022,53.9,0,resolved
CMP-936259,Double payment charge,I paid my electricity bill through the portal. The money was debited twice but the status is still unpaid.,billing,billing,low,Ward 4,0,2,2026-04-07T02:11:40.499022,46.79,0,resolved
CMP-698036,Property registration link,Unable to link my property tax ID to my mobile number on the municipal portal.,property_tax,property_tax,low,Ward 8,0,1,2026-05-20T15:23:40.499022,120.93,1,rejected
CMP-636203,Loudspeaker noise pollution,Loud music is being played at high volume after midnight from the party hall near Ward 8 hospital.,general,general,low,Ward 8,0,2,2026-04-06T09:37:40.499022,105.27,0,resolved
CMP-102642,Double payment charge,I paid my electricity bill through the portal. The money was debited twice but the status is still unpaid.,billing,billing,low,Ward 8,0,2,2026-05-29T09:53:40.499022,53.79,0,rejected
CMP-804743,Streetlights broken,"None of the streetlights are working in our lane in Ward 3, making it extremely dark and unsafe at night.",electricity,electricity,low,Ward 3,0,2,2026-05-08T15:49:40.499022,13.93,0,resolved
CMP-706054,Street vendor encroachment,Street vendors have blocked the entire entrance gate of our society in Ward 4.,general,general,low,Ward 4,0,2,2026-05-06T05:30:40.499022,54.17,0,resolved
CMP-534040,Tax assessment error,My house tax assessment shows double the square footage of my actual property. Need correction.,property_tax,property_tax,low,Ward 2,0,1,2026-04-12T13:36:40.499022,61.48,0,resolved
CMP-687657,Double payment charge,I paid my electricity bill through the portal. The money was debited twice but the status is still unpaid.,billing,billing,low,Ward 10,0,1,2026-05-22T11:33:40.499022,60.87,0,resolved
CMP-793167,Open manhole,A deep sewer manhole is lying open on the middle of the road. This is a death trap for drivers.,roads,roads,low,Ward 10,0,1,2026-05-06T14:49:40.499022,118.88,0,resolved
CMP-291470,Stray dog menace,"A pack of aggressive stray dogs has gathered near the children's park in Ward 3, attacking passersby.",general,general,low,Ward 3,0,2,2026-05-13T17:25:40.499022,103.71,0,resolved
CMP-462270,Meter billing issue,My digital electricity meter is running twice as fast even when all switches are turned off.,electricity,electricity,low,Ward 6,0,2,2026-05-25T22:26:40.499022,11.44,0,resolved
CMP-928508,Transformer sparking,The electric transformer near the local market is sparking and emitting smoke. It could catch fire.,electricity,electricity,critical,Ward 3,0,2,2026-04-10T00:24:40.499022,2.35,0,resolved
CMP-356726,Loudspeaker noise pollution,Loud music is being played at high volume after midnight from the party hall near Ward 6 hospital.,general,general,low,Ward 6,0,2,2026-05-24T00:21:40.499022,36.23,0,resolved
CMP-607816,Water pipeline burst,There is a major water pipe burst on Main Street in Ward 5. Drinking water is leaking onto the road and pressure is low.,water,water,critical,Ward 5,0,1,2026-05-25T21:15:40.499022,4.91,1,resolved
CMP-276876,Public toilet unhygienic,The public toilet near Ward 10 bus stand has no running water and is extremely filthy.,sanitation,sanitation,low,Ward 10,0,2,2026-04-26T16:04:40.499022,58.36,0,resolved
CMP-670638,Consumer ID link error,The system says my consumer ID is invalid when I try to query my monthly dues.,billing,billing,low,Ward 5,0,2,2026-05-30T00:53:40.499022,57.02,0,resolved
CMP-172366,Tax assessment error,My house tax assessment shows double the square footage of my actual property. Need correction.,property_tax,property_tax,low,Ward 3,0,1,2026-04-25T15:53:40.499022,69.23,0,resolved
CMP-602794,Water pipeline burst,There is a major water pipe burst on Main Street in Ward 10. Drinking water is leaking onto the road and pressure is low.,water,water,critical,Ward 10,0,1,2026-04-07T09:54:40.499022,5.93,1,resolved
CMP-139366,Tax assessment error,My house tax assessment shows double the square footage of my actual property. Need correction.,property_tax,property_tax,low,Ward 3,0,2,2026-05-07T16:58:40.499022,105.06,0,resolved
CMP-669401,Potholes on road,Huge potholes have formed on the main road in Ward 4. Multiple two-wheelers have skidded today.,roads,roads,low,Ward 4,0,1,2026-05-05T00:11:40.499022,165.34,1,resolved
CMP-722082,Meter billing issue,My digital electricity meter is running twice as fast even when all switches are turned off.,electricity,electricity,low,Ward 3,0,2,2026-04-23T11:17:40.499022,13.15,0,resolved
CMP-367848,Dead animal removal,A dead stray dog is lying on the side of the road near Ward 3 park. It is smelling terrible.,sanitation,sanitation,low,Ward 3,0,1,2026-04-28T14:20:40.499022,61.98,0,resolved
CMP-177058,No water supply,We have not received any drinking water supply for the last 3 days in Ward 3. Please look into this urgently.,water,water,low,Ward 3,0,1,2026-06-03T14:02:40.499022,28.47,0,pending
CMP-402541,Transformer sparking,The electric transformer near the local market is sparking and emitting smoke. It could catch fire.,electricity,electricity,critical,Ward 8,0,1,2026-05-13T03:01:40.499022,2.74,0,resolved
CMP-885620,No garbage collection,The municipal waste collection truck has skipped our sector for the last four days.,sanitation,sanitation,low,Ward 2,0,1,2026-05-18T19:49:40.499022,37.96,0,resolved
CMP-405751,Contaminated water,The drinking water supplied today is yellow and smells like drainage. It is completely unfit for consumption.,water,water,medium,Ward 2,0,2,2026-04-21T00:55:40.499022,19.67,0,resolved
CMP-599448,Dangling wire,A live high-voltage electrical cable has snapped and is hanging low over the road near Ward 1 school.,electricity,electricity,medium,Ward 1,0,2,2026-04-21T07:38:40.499022,11.11,0,resolved
CMP-240292,Contaminated water,The drinking water supplied today is yellow and smells like drainage. It is completely unfit for consumption.,water,water,medium,Ward 9,0,1,2026-04-09T07:53:40.499022,25.06,0,rejected
CMP-885661,Incorrect tax rebate,The senior citizen tax discount was not applied to my online tax calculation.,property_tax,property_tax,low,Ward 6,0,2,2026-05-27T00:46:40.499022,64.21,0,resolved
CMP-110756,Incorrect billing amount,"I received a water bill of Rs. 15,000 this month. Our typical bill is Rs. 300. This is a calculation error.",billing,billing,low,Ward 7,0,1,2026-05-24T18:52:40.499022,46.68,0,resolved
CMP-434301,Stray dog menace,"A pack of aggressive stray dogs has gathered near the children's park in Ward 3, attacking passersby.",general,general,low,Ward 3,0,1,2026-04-25T05:31:40.499022,92.77,0,resolved
CMP-505376,Dangling wire,A live high-voltage electrical cable has snapped and is hanging low over the road near Ward 8 school.,electricity,electricity,medium,Ward 8,0,2,2026-04-09T00:55:40.499022,13.5,0,resolved
CMP-113872,No garbage collection,The municipal waste collection truck has skipped our sector for the last four days.,sanitation,sanitation,low,Ward 8,0,1,2026-05-17T09:05:40.499022,73.74,0,resolved
CMP-568193,Garbage dump overflow,The municipal garbage bin has not been cleared for a week. Garbage is spilling and dogs are scattering it.,sanitation,sanitation,low,Ward 7,0,1,2026-05-14T01:17:40.499022,49.39,0,resolved
CMP-789711,Incorrect billing amount,"I received a water bill of Rs. 15,000 this month. Our typical bill is Rs. 300. This is a calculation error.",billing,billing,low,Ward 2,0,1,2026-05-23T16:35:40.499022,54.22,0,resolved
CMP-491658,Broken footpath,The pedestrian footpath is completely broken and blocked by debris near Ward 4 metro station.,roads,roads,medium,Ward 4,0,1,2026-06-01T23:10:40.499022,108.15,1,in_progress
CMP-138023,Low water pressure,The municipal water pressure is extremely low. It takes hours to fill a single bucket.,water,water,medium,Ward 10,0,2,2026-05-03T05:20:40.499022,24.98,0,resolved
CMP-417460,Potholes on road,Huge potholes have formed on the main road in Ward 2. Multiple two-wheelers have skidded today.,roads,roads,low,Ward 2,0,1,2026-05-03T02:58:40.499022,134.85,1,resolved
CMP-875302,Loudspeaker noise pollution,Loud music is being played at high volume after midnight from the party hall near Ward 2 hospital.,general,general,low,Ward 2,0,2,2026-04-10T14:02:40.499022,38.52,0,resolved
CMP-715481,Street vendor encroachment,Street vendors have blocked the entire entrance gate of our society in Ward 1.,general,general,low,Ward 1,0,2,2026-06-03T02:01:40.499022,117.06,0,pending
CMP-491679,No garbage collection,The municipal waste collection truck has skipped our sector for the last four days.,sanitation,sanitation,low,Ward 7,0,1,2026-04-23T12:24:40.499022,42.71,0,resolved
CMP-492260,Tax assessment error,My house tax assessment shows double the square footage of my actual property. Need correction.,property_tax,property_tax,low,Ward 5,0,2,2026-04-25T01:34:40.499022,85.84,0,resolved
CMP-409242,Tax assessment error,My house tax assessment shows double the square footage of my actual property. Need correction.,property_tax,property_tax,low,Ward 2,0,1,2026-06-02T21:23:40.499022,104.13,0,pending
CMP-329238,Dead animal removal,A dead stray dog is lying on the side of the road near Ward 9 park. It is smelling terrible.,sanitation,sanitation,low,Ward 9,0,2,2026-05-29T20:44:40.499022,60.05,0,rejected
CMP-392629,Broken footpath,The pedestrian footpath is completely broken and blocked by debris near Ward 7 metro station.,roads,roads,medium,Ward 7,0,1,2026-04-23T11:56:40.499022,55.84,0,resolved
CMP-154399,Property registration link,Unable to link my property tax ID to my mobile number on the municipal portal.,property_tax,property_tax,low,Ward 8,0,1,2026-05-23T02:17:40.499022,79.37,0,resolved
CMP-665027,Incorrect tax rebate,The senior citizen tax discount was not applied to my online tax calculation.,property_tax,property_tax,low,Ward 5,0,2,2026-05-26T08:45:40.499022,108.3,0,resolved
CMP-646168,Public toilet unhygienic,The public toilet near Ward 5 bus stand has no running water and is extremely filthy.,sanitation,sanitation,low,Ward 5,0,1,2026-05-15T09:28:40.499022,72.38,0,resolved
CMP-526366,Loudspeaker noise pollution,Loud music is being played at high volume after midnight from the party hall near Ward 7 hospital.,general,general,low,Ward 7,0,2,2026-05-13T21:11:40.499022,58.58,0,resolved
CMP-219431,Stray dog menace,"A pack of aggressive stray dogs has gathered near the children's park in Ward 8, attacking passersby.",general,general,low,Ward 8,0,2,2026-05-05T16:35:40.499022,81.39,0,resolved
CMP-536187,Dangling wire,A live high-voltage electrical cable has snapped and is hanging low over the road near Ward 1 school.,electricity,electricity,medium,Ward 1,0,2,2026-04-27T19:56:40.499022,11.88,0,resolved
CMP-125377,Public toilet unhygienic,The public toilet near Ward 1 bus stand has no running water and is extremely filthy.,sanitation,sanitation,low,Ward 1,0,2,2026-05-04T14:33:40.499022,62.75,0,resolved
CMP-701381,Double payment charge,I paid my electricity bill through the portal. The money was debited twice but the status is still unpaid.,billing,billing,low,Ward 1,0,2,2026-05-06T12:35:40.499022,51.02,0,resolved
CMP-632240,Street vendor encroachment,Street vendors have blocked the entire entrance gate of our society in Ward 9.,general,general,low,Ward 9,0,1,2026-04-29T18:09:40.499022,124.85,1,resolved
CMP-152904,Power outage,Unscheduled power cuts for the past 8 hours in Ward 6. Electronic items are getting damaged.,electricity,electricity,low,Ward 6,0,1,2026-05-30T18:32:40.499022,14.67,0,resolved
CMP-347712,Water pipeline burst,There is a major water pipe burst on Main Street in Ward 3. Drinking water is leaking onto the road and pressure is low.,water,water,critical,Ward 3,0,1,2026-05-09T07:41:40.499022,2.0,0,resolved
CMP-613515,Property registration link,Unable to link my property tax ID to my mobile number on the municipal portal.,property_tax,property_tax,low,Ward 4,0,1,2026-05-12T19:28:40.499022,111.78,0,resolved
CMP-827014,Dangling wire,A live high-voltage electrical cable has snapped and is hanging low over the road near Ward 5 school.,electricity,electricity,medium,Ward 5,0,1,2026-05-10T02:12:40.499022,12.77,0,resolved
CMP-550988,No garbage collection,The municipal waste collection truck has skipped our sector for the last four days.,sanitation,sanitation,low,Ward 3,0,2,2026-04-12T03:10:40.499022,58.51,0,resolved
CMP-218759,Loudspeaker noise pollution,Loud music is being played at high volume after midnight from the party hall near Ward 9 hospital.,general,general,low,Ward 9,0,2,2026-05-07T18:55:40.499022,85.03,0,resolved
CMP-913827,Tax assessment error,My house tax assessment shows double the square footage of my actual property. Need correction.,property_tax,property_tax,low,Ward 5,0,1,2026-05-13T07:22:40.499022,121.31,1,resolved
